feature,importance
rdiuskaf,0.004413650371117517
session,0.004389791891271293
projet,0.004356134719966527
maniere de,0.0043511904077795874
correction,0.0043279353199019675
acces,0.0043192917628350185
que les,0.004287867556511984
dont,0.0042809918937692605
faire,0.0042670521922100624
appel candidature,0.004262348265094281
font,0.004254619272501815
de karpala,0.004225868200244056
sur le,0.004224570883429989
certaines,0.004195718868377637
rencontre,0.004190346821474764
information,0.00418474871816334
campusfaso bf,0.0041550956430647466
recherche,0.00415474437960936
compositions,0.004151316246271057
moi,0.004149013609006779
boxfresh boxfresh,0.0041337992067488364
cours en,0.004129471992459357
afrique,0.004117485557695856
cours et,0.004082910734721405
vos,0.004072247992141308
aout,0.004066880606905992
bissyandef,0.004058645630323823
academique,0.004054064301453824
sur les,0.004013785863474548
ces,0.004006806997379008
internet,0.0040047220100755425
son,0.003993067734676319
joseph,0.003977734908197766
difficulte,0.003976489815300086
dans les,0.003968647783833063
afin,0.003967236058378601
etre,0.003951997185204049
grand,0.003942835567452156
le fait,0.0039228475019805675
septembre,0.003915511758359118
avons,0.003908252591622514
savoir,0.0039037257838989313
candidatures,0.0038913716524897235
superieur,0.0038605751741239733
nous avons,0.0038154572364704747
sida,0.0038051769669265904
composer,0.0037832587890625716
chaque,0.0037804243806134636
universites,0.00376450426029458
idrc_crdi,0.003751576953900538
connexion lors,0.003747031866388282
ici,0.0037460397645718685
apprentissage,0.0037280204102004243
sein,0.0037242899149124054
excellence,0.00372273050036915
toujours,0.003688617783930379
developpement,0.003677327475088959
ete,0.0036751735172111375
enseignement superieur,0.0036635754034973246
au sein,0.0036518947527312056
cadre,0.003636027604727959
filieres,0.0036235243823043543
cours sont,0.003610448108472538
formation de,0.0035894455758826507
avoir,0.0035832690048949226
https uv,0.003572362315135197
sein de,0.0035663426086937713
15,0.0035452400496860156
ouverture,0.003519560213796455
sur notre,0.003486583532272712
ce qui,0.0034684623624619943
parfois,0.003457429493119664
administration,0.003455866797917213
pendant,0.0034528440423583005
officiel,0.0034476552334014522
trop,0.0034450533030412176
bonsoir,0.003443149589098733
disponibilite,0.003440118444515883
theme,0.003436831378537601
informatique,0.003416325668166172
zerbo,0.0033938000939236906
le recrutement,0.003390002515792219
eno,0.0033817000216845115
felicitations,0.00337921177146684
profit,0.003374718938086256
joseph ki,0.003370669177034402
ki zerbo,0.003370669177034402
ki,0.003370669177034402
plateforme de,0.0033691008907860307
au niveau,0.0033679832426953965
la correction,0.0033641194535591135
bonne,0.0033583073911874453
afin de,0.0033570707755335508
titinto_ rdiuskaf,0.003356884701838949
bissyandef titinto_,0.003356884701838949
au profit,0.003355855293451801
profit des,0.003355855293451801
des compositions,0.0033547933835762172
de master,0.0033487218012069634
president,0.003342558550801202
annee academique,0.0033425527693396154
ouaga,0.003336007472357183
es,0.0033310896224822495
18,0.0033252641692147447
possibilite,0.0033178891123198865
eu,0.0033125243003092695
du projet,0.0033089124523591382
lancement,0.0032776363175266283
part,0.0032611348867271125
mois,0.003259761525798268
20,0.0032376106141963996
web,0.0032366386860053333
rendez vous,0.0032343887942305628
rendez,0.0032343887942305628
des puces,0.0032319299998698173
citadel_uvbf,0.003209046685690434
2025,0.0032088995863337553
fr,0.003192941797527739
avant,0.003187583396212483
sa,0.00318540770941978
connaissance,0.003178682383837468
titre,0.0031724499742630348
se fait,0.0031586355517586816
eno de,0.0031470385088728657
de annee,0.0031446104909088925
td,0.003137239306366271
lance,0.003129112887386213
ouvert eno,0.003126595193411775
problemes,0.003122028603496032
sessions,0.0031184025059122007
elle,0.003116284976282401
la disponibilite,0.00311410600048023
puces de,0.00311092665407868
etat,0.0031094751124182535
scientifique,0.003102828464218928
peu,0.003098375572937232
dont les,0.0030937140952264097
les evaluations,0.0030874353717345276
orientation,0.003084089570421423
en ia,0.003078249979492331
ai4dev sida,0.0030776657194239738
vraiment,0.003071885825453968
notes,0.0030683564226301765
evaluation,0.0030653487111454904
toutes,0.0030650167437604927
maintenant,0.0030576206440393475
et le,0.0030573088716067554
de espace,0.0030425654503225654
